timestamp,altitude,groundspeed,track,CAS,weight,fuelflow,TAS,vertical_rate
2011-07-23 16:19:00+00:00,30842.0,459.0,233.26171875,273.625,61198.6834655762,0.16782912292480556,434.110387452855,-2040.0
2011-07-23 16:19:05+00:00,30668.0,458.0,233.26171875,274.625,61198.6834655762,0.16833311428494444,434.2385627846623,-2040.0
2011-07-23 16:19:10+00:00,30494.0,457.0,233.349609375,274.625,61198.6834655762,0.16934109700522224,433.0419579139848,-2040.0
2011-07-23 16:19:15+00:00,30320.0,455.0,233.349609375,274.375,61198.6834655762,0.17085307108561112,431.4867224111048,-2160.0
2011-07-23 16:19:20+00:00,30144.0,454.0,233.26171875,273.875,61216.8271606445,0.1643011834038611,429.5611723899507,-2160.0
2011-07-23 16:19:25+00:00,29972.0,453.0,233.349609375,273.625,61216.8271606445,0.16077324388291667,428.0306934228185,-2160.0
2011-07-23 16:19:30+00:00,29794.0,452.0,233.349609375,273.5,61216.8271606445,0.164805174764,426.6451311258742,-2160.0
2011-07-23 16:19:35+00:00,29616.0,450.0,233.26171875,273.25,61216.8271606445,0.16833311428494444,425.08435199513167,-2160.0
2011-07-23 16:19:40+00:00,29442.0,449.0,233.26171875,272.75,61216.8271606445,0.16833311428494444,423.1964834375192,-2040.0
2011-07-23 16:19:45+00:00,29268.0,448.0,233.26171875,273.0,61216.8271606445,0.16782912292480556,422.3911231809046,-2040.0
2011-07-23 16:19:50+00:00,29102.0,447.0,232.734375,273.375,61216.8271606445,0.20714044901530554,422.5200018890295,-2160.0
2011-07-23 16:19:55+00:00,28924.0,445.0,230.888671875,274.0,61207.7553131103,0.10382222018772222,422.5200018890295,-2280.0
2011-07-23 16:20:00+00:00,28676.0,446.0,228.8671875,276.125,61198.6834655762,0.12196590915255555,423.06417526826414,-3360.0
2011-07-23 16:20:05+00:00,28372.0,447.0,226.93359375,278.75,61198.6834655762,0.10684616834852777,424.6009239371714,-3840.0
2011-07-23 16:20:10+00:00,28022.0,450.0,224.82421875,282.75,61198.6834655762,0.09878230658636111,427.9027037492978,-3960.0
2011-07-23 16:20:15+00:00,27700.0,452.0,222.626953125,285.875,61207.7553131103,0.09575835842555555,429.9261433308467,-3720.0
2011-07-23 16:20:20+00:00,27428.0,452.0,220.693359375,286.75,61198.6834655762,0.10533419426811111,429.5284122785833,-3120.0
2011-07-23 16:20:25+00:00,27180.0,452.0,219.0234375,288.375,61198.6834655762,0.10432621154786112,429.45175493586265,-2880.0
2011-07-23 16:20:30+00:00,26948.0,451.0,217.265625,289.0,61180.5397705078,0.10382222018772222,429.45175493586265,-2640.0
2011-07-23 16:20:35+00:00,26732.0,450.0,216.123046875,288.75,61180.5397705078,0.10583818562825,427.67365698325824,-2640.0
2011-07-23 16:20:40+00:00,26514.0,449.0,216.03515625,289.5,61180.5397705078,0.10483020290797221,427.2652580993865,-2520.0
2011-07-23 16:20:45+00:00,26300.0,447.0,215.5078125,289.75,61180.5397705078,0.10483020290797221,426.1977937037244,-2520.0
2011-07-23 16:20:50+00:00,26090.0,446.0,215.33203125,289.5,61180.5397705078,0.10483020290797221,424.95154048282905,-2520.0
2011-07-23 16:20:55+00:00,25892.0,444.0,215.33203125,290.625,61180.5397705078,0.10533419426811111,424.0756271792226,-2160.0
2011-07-23 16:21:00+00:00,25738.0,441.0,215.419921875,289.125,61180.5397705078,0.10835814242891667,421.66622243903697,-1560.0
2011-07-23 16:21:05+00:00,25628.0,437.0,215.595703125,286.75,61180.5397705078,0.10735015970866667,417.7151702951255,-1200.0
2011-07-23 16:21:10+00:00,25538.0,433.0,215.859375,284.125,61180.5397705078,0.10785415106880555,413.5562335126247,-1080.0
2011-07-23 16:21:15+00:00,25448.0,429.0,216.03515625,280.875,61180.5397705078,0.10987011650933334,408.54695726392725,-1080.0
2011-07-23 16:21:20+00:00,25358.0,424.0,216.2109375,278.25,61180.5397705078,0.11037410786947223,404.3935826451936,-1080.0
2011-07-23 16:21:25+00:00,25268.0,421.0,216.474609375,276.0,61180.5397705078,0.11037410786947223,400.7558108606143,-1080.0
2011-07-23 16:21:30+00:00,25168.0,417.0,216.650390625,273.875,61180.5397705078,0.11037410786947223,397.23049553165794,-1200.0
2011-07-23 16:21:35+00:00,25052.0,414.0,216.73828125,273.125,61180.5397705078,0.1108780992296111,395.4892099993008,-1440.0
2011-07-23 16:21:40+00:00,24926.0,411.0,216.73828125,271.75,61180.5397705078,0.1108780992296111,392.1786351414288,-1560.0
2011-07-23 16:21:45+00:00,24792.0,409.0,216.826171875,270.625,61180.5397705078,0.11037410786947223,390.4850528564497,-1680.0
2011-07-23 16:21:50+00:00,24642.0,407.0,216.826171875,268.875,61162.3960754395,0.11138209058972222,387.62933838385504,-2040.0
2011-07-23 16:21:55+00:00,24464.0,406.0,216.826171875,269.875,61162.3960754395,0.1108780992296111,387.4736063585253,-2160.0
2011-07-23 16:22:00+00:00,24280.0,405.0,216.73828125,270.875,61180.5397705078,0.11037410786947223,387.7178308865899,-2160.0
2011-07-23 16:22:05+00:00,24108.0,404.0,216.73828125,271.25,61180.5397705078,0.11239007330999999,387.187394920693,-1920.0
2011-07-23 16:22:10+00:00,23958.0,402.0,216.73828125,270.625,61180.5397705078,0.11188608194986112,385.44172044237206,-1800.0
2011-07-23 16:22:15+00:00,23796.0,400.0,216.73828125,270.125,61180.5397705078,0.11390204739041668,385.1734836660051,-2040.0
2011-07-23 16:22:20+00:00,23570.0,400.0,216.826171875,271.0,61162.3960754395,0.11037410786947223,385.1734836660051,-3000.0
2011-07-23 16:22:25+00:00,23280.0,402.0,216.826171875,276.375,61180.5397705078,0.16026925252277777,389.08443305244737,-3720.0
2011-07-23 16:22:30+00:00,22966.0,405.0,216.9140625,279.875,61180.5397705078,0.1517013994005,391.850465393024,-3720.0
2011-07-23 16:22:35+00:00,22692.0,407.0,217.001953125,281.625,61180.5397705078,0.13758964131672222,391.83779680491193,-3000.0
2011-07-23 16:22:40+00:00,22472.0,407.0,217.001953125,282.375,61180.5397705078,0.14111758083766668,391.7996026754491,-2160.0
2011-07-23 16:22:45+00:00,22316.0,405.0,217.001953125,281.625,61180.5397705078,0.14514951171875,389.8297342134527,-1560.0
2011-07-23 16:22:50+00:00,22214.0,401.0,217.001953125,280.625,61180.5397705078,0.14514951171875,388.3331527139474,-1080.0
2011-07-23 16:22:55+00:00,22136.0,397.0,217.001953125,278.125,61162.3960754395,0.14615749443902776,384.5833410241989,-840.0
2011-07-23 16:23:00+00:00,22066.0,393.0,217.001953125,276.375,61162.3960754395,0.14262955491808332,380.7778809340662,-1080.0
2011-07-23 16:23:05+00:00,21988.0,389.0,217.08984375,273.625,61162.3960754395,0.14666148579916666,377.7969306503024,-1080.0
